plugin,timestamp,processing_latency_ms,e2e_latency_ms,t_start,t_end
Recorder,783311.879191,0.004236935637891293,1787643586297.4702,783311.949797305,783311.949801542
Recorder,783311.912701,0.004975008778274059,1787643586295.9346,783311.981771025,783311.981776
Recorder,783311.946212,0.07005198858678341,1787643586294.4421,783312.013723303,783312.013793355
Recorder,783311.979722,0.00454997643828392,1787643586296.9985,783312.04985612,783312.04986067
Recorder,783312.013233,0.0059639569371938705,1787643586295.9568,783312.082323899,783312.082329863
Recorder,783312.046743,0.004681991413235664,1787643586298.0056,783312.117883972,783312.117888654
Recorder,783312.080253,0.004237983375787735,1787643586296.5244,783312.149913416,783312.149917654
Recorder,783312.113764,0.011658994480967522,1787643586295.18,783312.182065085,783312.182076744
Recorder,783312.147274,0.004442990757524967,1787643586297.475,783312.21788477,783312.217889213
Recorder,783312.180785,0.004142057150602341,1787643586296.157,783312.250077906,783312.250082048
Recorder,783312.214295,0.0040370505303144455,1787643586294.38,783312.281810924,783312.281814961
Recorder,783312.247805,0.004114932380616665,1787643586296.8577,783312.317798855,783312.31780297
Recorder,783312.281316,0.004200031980872154,1787643586295.3706,783312.349822387,783312.349826587
Recorder,783312.314826,0.0038599828258156776,1787643586297.8125,783312.385774715,783312.385778575
Recorder,783312.348337,0.0013300450518727303,1787643586296.0771,783312.417551204,783312.417552534
Recorder,783312.381847,0.003429013304412365,1787643586294.6943,783312.449678386,783312.449681815
Recorder,783312.415357,0.004424015060067177,1787643586297.3452,783312.485837822,783312.485842246
Recorder,783312.448868,0.004072091542184353,1787643586295.7793,783312.517783274,783312.517787346
Recorder,783312.482378,0.003897002898156643,1787643586294.274,783312.549787993,783312.54979189
Recorder,783312.515889,0.0049299560487270355,1787643586297.0117,783312.586035805,783312.586040735
Recorder,783312.549399,0.004134024493396282,1787643586295.2456,783312.617780785,783312.617784919
Recorder,783312.582909,0.004181056283414364,1787643586297.6924,783312.653737393,783312.653741574
Recorder,783312.61642,0.00451807864010334,1787643586296.261,783312.685817004,783312.685821522
Recorder,783312.64993,0.003968947567045689,1787643586294.7456,783312.717811813,783312.717815782
Recorder,783312.683441,0.0046549830585718155,1787643586297.537,783312.754113524,783312.754118179
Recorder,783312.716951,0.004114001058042049,1787643586295.7097,783312.785796511,783312.785800625
Recorder,783312.750461,0.004782923497259617,1787643586298.4236,783312.822019997,783312.82202478
Recorder,783312.783972,0.00433996319770813,1787643586296.951,783312.854058709,783312.854063049
Recorder,783312.817482,0.004651956260204315,1787643586295.3408,783312.885958253,783312.885962905
Recorder,783312.850993,0.004234025254845619,1787643586298.0247,783312.922153465,783312.922157699
Recorder,783312.884503,0.004778965376317501,1787643586296.3967,783312.954034819,783312.954039598
Recorder,783312.918013,0.0045050401240587234,1787643586294.881,783312.986025682,783312.986030187
Recorder,783312.951524,0.0728159211575985,1787643586297.3052,783313.021896066,783313.021968882
Recorder,783312.985034,0.005976995453238487,1787643586295.8684,783313.054035829,783313.054041806
Recorder,783313.018545,0.0044620828703045845,1787643586298.42,783313.090100723,783313.090105185
Recorder,783313.052055,0.005256966687738895,1787643586296.861,783313.122050117,783313.122055374
Recorder,783313.085565,0.0037580030038952827,1787643586295.0417,783313.153743316,783313.153747074
Recorder,783313.119076,0.0043209875002503395,1787643586297.611,783313.189823078,783313.189827399
Recorder,783313.152586,0.004400964826345444,1787643586296.078,783313.221799955,783313.221804356
Recorder,783313.186097,0.004363013431429863,1787643586294.7947,783313.254027175,783313.254031538
Recorder,783313.219607,0.004107016138732433,1787643586297.1086,783313.28985194,783313.289856047
Recorder,783313.253117,0.005888054147362709,1787643586295.815,783313.322065929,783313.322071817
Recorder,783313.286628,0.0051960814744234085,1787643586298.2822,783313.358045058,783313.358050254
Recorder,783313.320138,0.00422296579927206,1787643586296.5562,783313.389830101,783313.389834324
Recorder,783313.353649,0.004102010279893875,1787643586295.2605,783313.422045439,783313.422049541
Recorder,783313.387159,0.004254048690199852,1787643586297.4922,783313.457787219,783313.457791473
Recorder,783313.420669,0.003979075700044632,1787643586295.9956,783313.489800909,783313.489804888
Recorder,783313.45418,0.0019050203263759613,1787643586294.1733,783313.521492293,783313.521494198
Recorder,783313.48769,0.003225053660571575,1787643586296.9082,783313.557727827,783313.557731052
Recorder,783313.521201,0.004611094482243061,1787643586295.7666,783313.590103049,783313.59010766
Recorder,783313.554711,0.004033907316625118,1787643586297.9346,783313.625781791,783313.625785825
Recorder,783313.588221,0.004683970473706722,1787643586296.508,783313.657864613,783313.657869297
Recorder,783313.621732,0.00442389864474535,1787643586294.934,783313.689801868,783313.689806292
Recorder,783313.655242,0.004960922524333,1787643586297.5515,783313.725928551,783313.725933512
Recorder,783313.688753,0.004258938133716583,1787643586296.172,783313.758060783,783313.758065042
Recorder,783313.722263,0.005051027983427048,1787643586294.4822,783313.789880282,783313.789885333
Recorder,783313.755773,0.0047050416469573975,1787643586297.0251,783313.825933612,783313.825938317
Recorder,783313.789284,0.004089088179171085,1787643586295.4705,783313.857890387,783313.857894476
Recorder,783313.822794,0.00565405935049057,1787643586298.0295,783313.893957802,783313.893963456
Recorder,783313.856305,0.004158006049692631,1787643586296.699,783313.926140159,783313.926144317
Recorder,783313.889815,0.00416906550526619,1787643586294.92,783313.957870806,783313.957874975
Recorder,783313.923325,0.004147063009440899,1787643586297.598,783313.994058847,783313.994062994
Recorder,783313.956836,0.07002800703048706,1787643586296.1418,783314.026047154,783314.026117182
Recorder,783313.990346,0.004568020813167095,1787643586294.5303,783314.05801194,783314.058016508
Recorder,783314.023857,0.0038800062611699104,1787643586297.2935,783314.094286936,783314.094290816
Recorder,783314.057367,0.004361034370958805,1787643586295.5698,783314.126067564,783314.126071925
Recorder,783314.090877,0.003958004526793957,1787643586298.064,783314.162077226,783314.162081184
Recorder,783314.124388,0.004088040441274643,1787643586296.5647,783314.194088832,783314.19409292
Recorder,783314.157898,0.004285015165805817,1787643586295.0366,783314.226070345,783314.22607463
Recorder,783314.191409,0.003986060619354248,1787643586297.722,783314.262267176,783314.262271162
Recorder,783314.224919,0.004669069312512875,1787643586296.1086,783314.294162598,783314.294167267
Recorder,783314.258429,0.004803994670510292,1787643586298.592,783314.330155991,783314.330160795
Recorder,783314.29194,0.005280948244035244,1787643586297.0803,783314.362154943,783314.362160224
Recorder,783314.32545,0.004116096533834934,1787643586295.4822,783314.394068235,783314.394072351
Recorder,783314.358961,0.0044120242819190025,1787643586298.2334,783314.430330283,783314.430334695
Recorder,783314.392471,0.004110974259674549,1787643586296.463,783314.462070047,783314.462074158
Recorder,783314.425981,0.004315981641411781,1787643586294.9705,783314.494087304,783314.49409162
Recorder,783314.459492,0.003881053999066353,1787643586297.4937,783314.53012188,783314.530125761
Recorder,783314.493002,0.004892004653811455,1787643586295.9158,783314.562052939,783314.562057831
Recorder,783314.526513,0.004468951374292374,1787643586298.68,783314.598328633,783314.598333102
Recorder,783314.560023,0.004205037839710712,1787643586296.931,783314.630089759,783314.630093964
Recorder,783314.593533,0.004297005943953991,1787643586295.4585,783314.662127384,783314.662131681
Recorder,783314.627044,0.00401295255869627,1787643586297.719,783314.697894938,783314.697898951
Recorder,783314.660554,0.004293979145586491,1787643586296.2817,783314.729971785,783314.729976079
Recorder,783314.694065,0.004529021680355072,1787643586295.0906,783314.762291554,783314.762296083
